it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2020,7709,VXI BSVI,₹ 6.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"80,000",Automatic,3,3rd Owner,Skoda,Skoda Rapid,2015,3136,1.5 TDI AT Elegance,₹ 4.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"82,000",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2014,1542,Asta,₹ 3.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"32,947",Automatic,1,1st Owner,Hyundai,Hyundai Aura,2020,7331,SX Plus AMT,₹ 6.80 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"9,000",Manual,1,1st Owner,Jeep,Jeep Meridian,2022,9906,Limited Opt,₹ 31.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"25,000",Manual,1,1st Owner,Hyundai,Hyundai Verna,2018,5967,VTVT 1.6 SX,₹ 8.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,MUV,"10,000",Manual,1,1st Owner,Maruti,Maruti XL6,2022,7030,Zeta,₹ 12 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"8,413",Manual,1,1st Owner,Skoda,Skoda Slavia,2022,8696,1.5 TSI Style BSVI,₹ 17.86 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"34,460",Manual,1,1st Owner,Hyundai,Hyundai i20,2016,1483,Asta Option 1.2,₹ 6.14 Lakh,₹ 6.50 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"33,886",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2010,4226,ZXi,₹ 3.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
